name,handedness,height,weight,avg,HR,height_c,weight_c,BMI
Rick Leach,L,73,180,0.268,18,185,82,24
Dwayne Murphy,L,73,185,0.246,166,185,84,24
Larry Harlow,L,74,185,0.248,12,188,84,24
Mike Epstein,L,75,230,0.244,130,191,104,29
Jerry Mumphrey,B,74,185,0.289,70,188,84,24
Don Sutton,R,73,185,0.144,0,185,84,24
Glenn Beckert,R,73,190,0.283,22,185,86,25
Ron Davis,R,72,175,0.233,10,183,79,24
Mike Shannon,R,75,195,0.255,68,191,88,24
Jason Thompson,L,76,200,0.261,208,193,91,24
Wayne Tolleson,B,69,160,0.241,9,175,72,24
John Leister,R,74,200,0,0,188,91,26
Don Cooper,R,73,185,0,0,185,84,24
Mike Jorgensen,L,72,195,0.243,95,183,88,26
Ed Romero,R,71,160,0.247,8,180,72,22
Rick Joseph,R,73,192,0.243,13,185,87,25
Cecil Cooper,L,74,165,0.298,241,188,75,21
Bill Almon,R,75,180,0.254,36,191,82,22
Joe Ferguson,R,74,200,0.24,122,188,91,26
Jeff Jones,R,75,210,0,0,191,95,26
Jerry Terrell,R,71,165,0.253,4,180,75,23
John Poloni,L,77,210,0,0,196,95,25
Dave Revering,L,76,210,0.265,62,193,95,26
Curt Ford,L,70,150,0.245,7,178,68,21
Jerry Dybzinski,R,74,180,0.234,3,188,82,23
Mike Willis,L,74,205,0,0,188,93,26
Bob Burda,L,71,174,0.224,13,180,79,24
Jesse Gonder,L,70,180,0.251,26,178,82,26
Gary Sutherland,R,72,185,0.243,24,183,84,25
Bob Coluccio,R,71,183,0.22,26,180,83,25
Dave Rader,L,71,165,0.257,30,180,75,23
Ron Gardenhire,R,72,175,0.232,4,183,79,24
Bill Sharp,L,70,178,0.255,9,178,81,26
Alan Bannister,R,71,170,0.27,19,180,77,24
Bob Watson,R,72,201,0.295,184,183,91,27
Ken Harrelson,R,74,190,0.239,131,188,86,24
Bobby Wine,R,73,187,0.215,30,185,85,25
Stefan Wever,R,80,245,0,0,203,111,27
John Kennedy,R,72,185,0.225,32,183,84,25
Chico Ruiz,B,72,169,0.24,2,183,77,23
Dave Johnson,R,73,183,0,0,185,83,24
Gail Hopkins,L,70,198,0.266,25,178,90,28
Doug Frobel,L,76,196,0.201,20,193,89,24
Luis Melendez,R,72,165,0.248,9,183,75,22
Jerry Augustine,L,72,183,0,0,183,83,25
Bill Plummer,R,73,190,0.188,14,185,86,25
Buck Rodgers,B,74,190,0.232,31,188,86,24
Phil Niekro,R,73,180,0.169,7,185,82,24
Jeff Holly,L,77,210,0,0,196,95,25
Tom Poquette,L,70,175,0.268,10,178,79,25
Eric Hetzel,R,75,175,0,0,191,79,22
Brian Asselstine,L,73,175,0.254,12,185,79,23
Rick Miller,L,72,175,0.269,28,183,79,24
Ed Charles,R,70,170,0.263,86,178,77,24
Luis Gomez,R,69,150,0.21,0,175,68,22
Dave Lemanczyk,R,76,235,0,0,193,106,29
Al Jones,R,76,210,0,0,193,95,26
Floyd Rayford,R,70,190,0.244,38,178,86,27
Sam Hinds,R,78,215,0,0,198,97,25
Tony Conigliaro,R,75,185,0.264,166,191,84,23
Clay Christiansen,R,77,205,0,0,196,93,24
Jim Barr,R,75,205,0.162,1,191,93,26
Jerry Remy,L,69,165,0.275,7,175,75,24
Larry Rothschild,L,74,180,0,0,188,82,23
Frank Duffy,R,73,180,0.232,26,185,82,24
Gary Lance,B,75,195,0,0,191,88,24
Tom O'Malley,L,72,180,0.256,13,183,82,24
Phil Garner,R,70,175,0.26,109,178,79,25
Larry Pashnick,R,75,205,0,0,191,93,26
Todd Fischer,R,70,170,0,0,178,77,24
